Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
7,HIRa.R021,HIRa3,,2021_04_28,1e-5,2804.341806,44.53194873912961
7,HIRa.R021,HIRa3,,2021_04_28,1e-4,3076.439175,52.07597727987454
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,0,45750.1307352,0
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-12,66577.4227596,46.87920879193573
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-11,63663.0252544,40.31932337865657
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-10,52292.5994246,14.726146603493468
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-9,62932.5678524,38.675169879399164
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-8,74439.7837444,64.57624121325107
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-7,80016.2515686,77.1280601989319
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-6,90177.698011,100
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-5,86076.9814524,90.76988273262107
8,HIRa.R021,HIRa3,60292.7420444,2022_05_27,1e-4,71978.9985376001,59.03737118797217
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,0,47477.996805,0
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-12,50315.6631332,5.528344265132573
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-11,52796.9624816,10.362414038059553
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-10,47700.2880312,0.43306798031167903
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-9,74055.026412,51.77739459780544
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-8,87868.8352458,78.68947023089004
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-7,93604.705151,89.86409748739106
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-6,98807.4038048,100
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-5,90444.2889088,83.70697152992126
9,HIRa.R021,HIRa3,61674.4576128,2022_05_27,1e-4,89161.6837562,81.20819894015612
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,0,39770.2058252,0
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-12,52415.6791918,17.29458572230353
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-11,59775.8935536,27.360785264575366
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-10,60294.8537254,28.070541310668688
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-9,52497.285928,17.406195201348893
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-8,89197.128041,67.59874608637269
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-7,87421.194241,65.16988965286345
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-6,94161.2039748,74.38786613591425
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-5,106563.6257748,91.35004230488258
10,HIRa.R021,HIRa3,68826.794978,2022_05_27,1e-4,112888.3109342,100
1,HIRa.R029,HIRa3,,2021_07_28,0,358.6396338,0
1,HIRa.R029,HIRa3,,2021_07_28,1e-13,217.4831932,-0.5640948621242369
1,HIRa.R029,HIRa3,,2021_07_28,1e-12,507.077448,0.5931929707157272
1,HIRa.R029,HIRa3,,2021_07_28,1e-11,526.3922116,0.6703793807979904
1,HIRa.R029,HIRa3,,2021_07_28,1e-10,346.3375468,-0.049162078900602306
1,HIRa.R029,HIRa3,,2021_07_28,1e-9,420.6460804,0.24779257536507232
1,HIRa.R029,HIRa3,,2021_07_28,1e-8,419.862014,0.24465925869936245
1,HIRa.R029,HIRa3,,2021_07_28,1e-7,1654.006608,5.176595921558246
1,HIRa.R029,HIRa3,,2021_07_28,1e-6,14890.35567,58.07220923838456
1,HIRa.R029,HIRa3,,2021_07_28,1e-5,25382.16849,100
1,HIRa.R029,HIRa3,,2021_07_28,1e-4,21742.96711,85.45688179747548
2,HIRa.R029,HIRa3,,2021_07_28,0,360.8135466,0
2,HIRa.R029,HIRa3,,2021_07_28,1e-13,365.2159878,0.01733713208489115
2,HIRa.R029,HIRa3,,2021_07_28,1e-12,274.0330292,-0.34174795850970036
2,HIRa.R029,HIRa3,,2021_07_28,1e-11,257.7707646,-0.4057899335324785
2,HIRa.R029,HIRa3,,2021_07_28,1e-10,528.0896856,0.6587455424716664
2,HIRa.R029,HIRa3,,2021_07_28,1e-9,454.521765,0.3690297464599024
2,HIRa.R029,HIRa3,,2021_07_28,1e-8,510.3313976,0.5888121190207096
2,HIRa.R029,HIRa3,,2021_07_28,1e-7,1743.423054,5.444816310464317
2,HIRa.R029,HIRa3,,2021_07_28,1e-6,18577.03772,71.73680924624799
2,HIRa.R029,HIRa3,,2021_07_28,1e-5,25753.94765,100
2,HIRa.R029,HIRa3,,2021_07_28,1e-4,21352.58427,82.66711244827916
3,HIRa.R029,HIRa3,,2021_07_28,0,542.4165436,0
3,HIRa.R029,HIRa3,,2021_07_28,1e-13,290.7077632,-1.2975211889776121
3,HIRa.R029,HIRa3,,2021_07_28,1e-12,290.3607112,-1.2993101902312094
3,HIRa.R029,HIRa3,,2021_07_28,1e-11,400.642308,-0.730825021081005
3,HIRa.R029,HIRa3,,2021_07_28,1e-10,256.833564,-1.4721376292615065
3,HIRa.R029,HIRa3,,2021_07_28,1e-9,400.5761408,-0.7311661031198552
3,HIRa.R029,HIRa3,,2021_07_28,1e-8,438.2214788,-0.5371100052610455
3,HIRa.R029,HIRa3,,2021_07_28,1e-7,2200.538431,8.547370812373341
3,HIRa.R029,HIRa3,,2021_07_28,1e-6,13761.14259,68.14055953565878
3,HIRa.R029,HIRa3,,2021_07_28,1e-5,19941.62039,100
3,HIRa.R029,HIRa3,,2021_07_28,1e-4,14753.38337,73.25541263920063
4,HIRa.R029,HIRa3,,2021_04_28,0,142.3658592,0
4,HIRa.R029,HIRa3,,2021_04_28,1e-12,107.917656,-0.25407797294094675
4,HIRa.R029,HIRa3,,2021_04_28,1e-11,250.298328,0.7960723735865557
4,HIRa.R029,HIRa3,,2021_04_28,1e-10,663.2967964,3.842205522231814
4,HIRa.R029,HIRa3,,2021_04_28,1e-9,826.717364,5.047538825440701
4,HIRa.R029,HIRa3,,2021_04_28,1e-8,681.4160324,3.9758467088966274
4,HIRa.R029,HIRa3,,2021_04_28,1e-7,4531.962303,32.37613758820061
4,HIRa.R029,HIRa3,,2021_04_28,1e-6,13585.26501,99.15015151457416
4,HIRa.R029,HIRa3,,2021_04_28,1e-5,13700.48851,100
4,HIRa.R029,HIRa3,,2021_04_28,1e-4,11521.89759,83.93147063121272
5,HIRa.R029,HIRa3,,2021_04_28,0,392.5727236,0
5,HIRa.R029,HIRa3,,2021_04_28,1e-12,268.7981536,-1.0194794897018669
5,HIRa.R029,HIRa3,,2021_04_28,1e-11,286.9286656,-0.8701460270867789
5,HIRa.R029,HIRa3,,2021_04_28,1e-10,305.6588028,-0.7158737018853911
5,HIRa.R029,HIRa3,,2021_04_28,1e-9,357.8286332,-0.2861725760885093
5,HIRa.R029,HIRa3,,2021_04_28,1e-8,1062.148034,5.5150124598579575
5,HIRa.R029,HIRa3,,2021_04_28,1e-7,5227.115969,39.820115559779346
5,HIRa.R029,HIRa3,,2021_04_28,1e-6,12121.44438,96.6058221090597
5,HIRa.R029,HIRa3,,2021_04_28,1e-5,12533.53007,100.00000000000001
5,HIRa.R029,HIRa3,,2021_04_28,1e-4,9645.760198,76.21464445012424
6,HIRa.R029,HIRa3,,2021_04_28,0,250.0923656,0
6,HIRa.R029,HIRa3,,2021_04_28,1e-12,107.2664856,-4.086641611626899
6,HIRa.R029,HIRa3,,2021_04_28,1e-11,288.4140304,1.096488325494636
6,HIRa.R029,HIRa3,,2021_04_28,1e-10,287.1230904,1.0595509782707748
6,HIRa.R029,HIRa3,,2021_04_28,1e-9,502.5083288,7.222315582106016
6,HIRa.R029,HIRa3,,2021_04_28,1e-8,950.7966896,20.04907967593336
6,HIRa.R029,HIRa3,,2021_04_28,1e-7,1985.856804,49.66499896200629
6,HIRa.R029,HIRa3,,2021_04_28,1e-6,3438.182754,91.22004249414184
6,HIRa.R029,HIRa3,,2021_04_28,1e-5,3273.991262,86.52207190588217
6,HIRa.R029,HIRa3,,2021_04_28,1e-4,3745.037447,99.99999999999999
7,HIRa.R029,HIRa3,,2021_04_28,0,337.555128,0
7,HIRa.R029,HIRa3,,2021_04_28,1e-12,322.1537856,-0.4742732201866309
7,HIRa.R029,HIRa3,,2021_04_28,1e-11,323.3077472,-0.4387378058188731
7,HIRa.R029,HIRa3,,2021_04_28,1e-10,232.969272,-3.2206459296103422
7,HIRa.R029,HIRa3,,2021_04_28,1e-9,357.614176,0.6177039015013496
7,HIRa.R029,HIRa3,,2021_04_28,1e-8,825.9700752,15.040385687148074
7,HIRa.R029,HIRa3,,2021_04_28,1e-7,3584.911661,100
7,HIRa.R029,HIRa3,,2021_04_28,1e-6,2394.628825,63.34609939179104
7,HIRa.R029,HIRa3,,2021_04_28,1e-5,3404.894097,94.45648908056009
7,HIRa.R029,HIRa3,,2021_04_28,1e-4,2544.137075,67.95009801284422
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,0,1520.0004828,0
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-13,1195.400177,-0.8925215456056612
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-12,1347.0299738,-0.4756000018434913
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-11,1538.0380268,0.04959606125488109
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-10,2039.2942228,1.4278509390367433
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-9,1917.1148514,1.0919063343811795
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-8,2060.3213344,1.4856671203819884
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-7,7692.4895146,16.971886201150106
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-6,29609.1691296,77.23402525340444
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-5,37888.9046732,100
8,HIRa.R029,HIRa3,28766.1100964,2022_05_11,1e-4,27212.9391502,70.64534728044393
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,0,1191.1207916,0
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-13,1525.9176422,0.7328403156858138
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-12,1786.7958586,1.3038793625570868
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-11,1577.2229062,0.8451429427825812
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-10,1638.9592544,0.9802782788023082
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-9,2341.1873828,2.517392748003095
9,HIRa.R029,HIRa3,47639.3574418,2022_05_11,1e-8,2744.9972522,3.401296379825799
