Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
2,QGRFa.R070,QITRFa,539.4881024,,430.5760836,634.8639168,940.8367252,1135.0742132,771.0431428,497.883631999999,981.238680799999,2675.12562239999,6680.88438719999,8164.4238228,2022_02_15
3,QGRFa.R070,QITRFa,905.756128399999,,792.9796208,678.674936,893.0188476,665.7693088,674.979004,694.452195999999,1056.0095732,2123.7881756,6103.1432412,6446.52282559999,2022_02_15
4,QGRFa.R070,QITRFa,1277.9749198,,1022.34412,933.716898,1134.659298,1464.0933784,1312.1117898,1350.5774994,1471.7709842,2738.87752,6251.826834,15641.0163846,2022_03_02
5,QGRFa.R070,QITRFa,1092.6714656,,940.8408838,1293.1861322,893.7094464,1208.4625538,1020.9189592,1029.7483828,1388.853963,2624.6936952,6979.3019596,15565.4978576,2022_03_02
6,QGRFa.R070,QITRFa,1042.2538724,,1309.2948184,1175.4880686,1211.445972,1166.8582382,1266.941249,1037.8608036,1371.5346856,3065.0091546,6519.1546806,18025.8381986,2022_03_02
7,QGRFa.R070,QITRFa,563.9650958,,587.7401722,629.7550116,673.0197765,491.4377291,734.2272156,785.1758533,598.2087436,4085.9010506,7353.0570238,10377.3631943,2022_05_06
8,QGRFa.R070,QITRFa,881.2770293,,632.7104378,595.725611,723.92265,604.6423449,658.2941432,426.1811113,759.874792,3977.6052953,9178.3089881,10397.5578016,2022_05_06
9,QGRFa.R070,QITRFa,1173.403504,,689.8813937,926.7766015,730.7516715,739.1234542,649.438763,446.2691211,691.9842416,4497.7240079,8580.158285,13107.9647408,2022_05_06
1,QGRFa.R070,QGRFa,610.616831999999,,865.452316399999,1254.87951599999,906.8158488,1296.8990584,1016.571366,1232.215568,4561.9498568,9001.81609719999,10200.7651083999,16027.3632811999,2022_02_15
2,QGRFa.R070,QGRFa,574.22655,,436.390401599999,963.496115999999,662.748134799999,955.293078,904.924476,1447.54325919999,4428.08836279999,9598.1142312,10695.873452,17845.1389004,2022_02_15
