Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
7,GPR21.all,HIRa2,70.904884,,1198.295101,1467.240984,1041.032382,1615.954262,2675.986326,2475.694099,2536.063372,1497.616533,1807.807504,,2021.04.28
8,GPR21.all,HIRa2,1821.3134885,48888.0309174,53066.4960304,48085.0708373,46937.2903372,53297.5695121,80252.3447052,90004.7884296,97685.4842666,119928.737971,82870.0091838,94246.1864231,
9,GPR21.all,HIRa2,1570.707614,42828.3357771,45031.9877053,49826.5575285,48264.0688474,61153.0807339,85557.1477076,105666.01821,83806.215128,126601.2535069,95351.276331,108312.6278433,
10,GPR21.all,HIRa2,1409.8365323,40095.062694,50425.9121454,48824.5313887,55940.9589499,60146.2619507,64436.0283626,96584.0636347,70668.0224227,86094.3228769,66633.5893338,108941.0816837,
1,GPR21.all,HIRa4,383.653228,5488.509642,6531.020198,8195.241498,8337.939675,11752.00688,11846.00684,19527.44633,19675.05772,15742.71778,14489.90192,,2021.07.21
2,GPR21.all,HIRa4,455.9299472,5958.375101,5228.073596,8392.894546,8113.740258,11489.61996,11553.70268,17810.79148,17249.53428,14615.83865,14765.84598,,2021.07.21
3,GPR21.all,HIRa4,577.8466516,5511.342,5801.231911,7041.488178,11140.13149,9336.521779,11470.65619,15335.67669,13219.30069,12518.00292,11963.24523,,2021.07.21
4,GPR21.all,HIRa4,355.1659488,,5231.163482,6050.33796,5988.809724,7395.675484,11654.20876,13227.72344,15055.56604,14502.39849,14485.71495,,2021.04.28
5,GPR21.all,HIRa4,250.4690664,,4324.865628,4794.717922,5059.358863,7383.678401,7460.884394,10413.16088,10272.7448,13382.72606,10103.22705,,2021.04.28
6,GPR21.all,HIRa4,284.0887896,,1238.72832,2257.993258,2388.375312,1936.069889,3260.988094,3181.044683,3609.468902,2753.729068,2439.719554,,2021.04.28
7,GPR21.all,HIRa4,283.5913712,,1967.27897,1972.322619,2332.212462,2639.667411,3739.71165,5486.100104,2965.808052,3745.866063,3940.000017,,2021.04.28
8,GPR21.all,HIRa4,2085.940556,38846.8762366,46150.886383,45430.9253162,44162.5727574,48276.4103178,77725.1156298,71549.6703376,103196.4270138,96355.6557752,75502.4093048,70991.2215292,2022.05.27
9,GPR21.all,HIRa4,2883.8044122,42926.0250792,61249.2636774,53843.8453936,48292.5773826,60971.173494,83570.7201968,91131.7967428,105322.2188566,99711.94137,92886.113274,74667.0647724,2022.05.27
10,GPR21.all,HIRa4,1306.016082,36796.190816,58840.6471966,23422.7082184,38482.7206338,31317.3789912,59300.923841,76812.3474376,63720.6811038,65703.3320374,87404.9156594,46230.7800714,2022.05.27
1,GPR21.all,HIRa5,488.3496408,5648.376302,7129.630379,7556.863636,10145.73611,12111.46637,14206.13586,15852.75154,19975.66656,18397.86781,19412.30442,,2021.07.21
2,GPR21.all,HIRa5,420.7591604,6188.049049,7277.820156,8659.467912,10207.3559,10054.68654,12382.17521,14899.67825,18225.59512,17362.18608,16761.3755,,2021.07.21
3,GPR21.all,HIRa5,245.0804528,6356.680272,6951.140109,6298.327468,7939.247247,11120.54161,10600.38903,14351.17937,13428.19298,15164.98383,14367.20969,,2021.07.21
4,GPR21.all,HIRa5,357.0255896,,5514.104419,5616.911282,6084.102104,8781.776501,11484.55211,14777.35159,14680.79128,11663.74011,11775.29749,,2021.04.28
5,GPR21.all,HIRa5,356.7136328,,3807.474488,3717.446516,5795.669211,6844.975882,8073.429422,8907.981994,12329.66966,9742.822138,9793.292982,,2021.04.28
6,GPR21.all,HIRa5,284.2298536,,3301.282001,1741.181511,2964.72476,2257.870295,3634.578278,3254.096514,3313.188218,3202.139225,2723.09777,,2021.04.28
7,GPR21.all,HIRa5,319.5155736,,1610.016498,1324.757906,2158.117467,2377.253021,2243.499386,4949.504913,3485.176384,2300.462288,2866.939808,,2021.04.28
8,GPR21.all,HIRa5,1137.3454542,26935.944193,29430.8040446,41414.9011608,44508.1936556,35921.966521,42717.9372416,68108.4714948,69160.7391978,71670.4788834,53524.5695252,87440.5896932,2022.05.27
9,GPR21.all,HIRa5,1088.621416,31363.2008494,33354.7980984,53547.4561782,47575.9704668,46552.5160626,58528.1316202,74727.7280672,80484.984979,68455.316356,64456.8870488,86665.7796808,2022.05.27
10,GPR21.all,HIRa5,957.946661600001,31360.06305,34863.396262,43422.0887192,44291.3705042,37999.0130404,40444.9643122,61854.8430312,69304.310504,68366.8284998,46023.0824068,71962.1386108,2022.05.27
1,GPR29.all,HIRa1,574.280311,326.7641664,235.3715136,507.500367,327.8681946,384.11418,272.815445,455.2033064,546.336209,1602.104141,8164.030801,,2021.07.28
2,GPR29.all,HIRa1,432.7273524,237.84068,472.9681714,385.7679462,291.212706,436.6923274,436.6019832,163.8752876,419.3569952,3033.680934,14066.05607,,2021.07.28
3,GPR29.all,HIRa1,450.4584036,128.0388864,290.2600064,473.565762,291.849766,291.3597516,328.6689108,328.070568,621.0579688,3715.73079,11576.14704,,2021.07.28
4,GPR29.all,HIRa1,539.703036,,585.3258412,576.2394704,557.4100104,624.7947316,506.9470376,631.7795352,2172.5481724,7341.584848,21044.5298904,21718.0694,2022.04.01
5,GPR29.all,HIRa1,521.254829600001,,503.6106672,397.8746148,688.8739824,416.702226,667.9212536,638.36014,1523.5547728,7149.4552164,20396.730678,18255.2039428,2022.04.01
6,GPR29.all,HIRa1,495.8144912,,603.378282,452.173814,442.7961336,795.0303864,577.386382,652.6826328,1761.5773008,8394.32501,21253.3314364,18074.8815568,2022.04.01
7,GPR29.all,HIRa1,727.9018449,1844.8015208,1710.3397242,1485.9788541,1344.5217679,1175.1042956,1359.20632,1457.3877363,3433.3633743,13119.3012286,24915.1487051,34909.5342383,2022.05.11
8,GPR29.all,HIRa1,1232.7152165,2326.0652345,1588.9853982,1760.8647861,1360.7462202,2023.0498064,1744.151568,2377.2129786,4441.2812917,15783.5459639,35584.3983668,44673.6001292,2022.05.11
9,GPR29.all,HIRa1,1097.6651343,1775.2590616,2053.2257769,1506.5040224,1716.4788927,1835.4145883,1778.421822,2650.7772558,4923.439476,14551.4234472,38470.0101793,44360.7840802,2022.05.11
1,GPR29.all,HIRa2,234.6744604,507.5303882,271.4683752,217.553312,454.9800546,400.9457716,308.885445,690.443107,3821.793889,13419.92639,9304.430058,,2021.07.28
2,GPR29.all,HIRa2,757.778899,401.819023,491.739195,146.792556,436.9253758,309.1881926,181.8672704,384.6234934,4678.041953,15364.88805,11346.10807,,2021.07.28
3,GPR29.all,HIRa2,324.537052,362.9027328,199.6616524,273.576636,273.9774388,364.8125184,401.4824388,654.2606832,6782.343756,14220.96851,14162.02446,,2021.07.28
4,GPR29.all,HIRa2,357.2778456,,322.7363524,588.47637,250.6331976,143.8387392,431.8524912,717.6919844,6393.935441,9837.418748,5877.209028,,2021.04.28
5,GPR29.all,HIRa2,338.9801052,,431.0643876,358.660832,395.8166948,464.8788956,323.3825408,465.7732096,5405.011651,6124.685783,5718.046834,,2021.04.28
6,GPR29.all,HIRa2,426.5916424,,250.5015504,144.0018,288.2496208,321.8736976,412.104648,751.7839288,2881.278964,3651.492344,2385.933795,,2021.04.28
7,GPR29.all,HIRa2,195.7735248,,321.7278816,107.446428,431.1186,252.0233704,322.9567632,2241.598397,2893.36383,3025.648047,2505.198404,,2021.04.28
8,GPR29.all,HIRa2,1013.5176217,1902.0307246,1909.4754658,1894.8495755,2118.9576574,2158.7494454,2172.047887,5817.5959432,26566.1388432,45693.378689,43721.987798,51975.612932,2022.05.11
9,GPR29.all,HIRa2,1561.5295612,2240.8056181,2675.4588261,2201.4422736,2219.2601938,2148.994822,2888.8877222,6081.1479196,24110.5557282,42333.4545368,41874.130085,50576.3695088,2022.05.11
10,GPR29.all,HIRa2,988.6894156,1637.4074074,3003.7117413,2159.4329731,2598.7096614,2239.2259758,2889.3237068,5366.4791892,20763.7969088,41359.4940286,42657.9404136,50261.366723,2022.05.11
1,GPR29.all,HIRa4,251.2302692,306.823186,380.8881088,345.3818774,275.4069048,273.6089782,255.069005,1127.075514,11795.01082,23505.04057,21501.19851,,2021.07.28
2,GPR29.all,HIRa4,306.2908014,182.5176212,273.3774048,475.1826332,236.740771,490.7696824,746.990813,1889.578874,16542.77208,22990.68275,21058.36979,,2021.07.28
3,GPR29.all,HIRa4,305.4219016,508.3069696,181.5275952,528.206022,272.9027912,328.2399756,655.7173276,2235.650583,15163.48176,19573.40832,20581.80724,,2021.07.28
4,GPR29.all,HIRa4,231.6305808,,268.8415072,357.0849452,358.8645648,754.2002432,609.9725988,2931.672899,10785.7921,14468.05975,6290.972413,,2021.04.28
5,GPR29.all,HIRa4,160.2837936,,322.309564,179.4088196,268.9651008,447.0184212,486.1416912,4542.019223,9427.918791,11280.69568,9750.958219,,2021.04.28
6,GPR29.all,HIRa4,410.0589416,,321.5721672,467.0067264,484.7666856,251.5397456,918.4926672,1859.411369,2473.37059,3538.581744,3343.907616,,2021.04.28
7,GPR29.all,HIRa4,177.8466296,,358.1710672,214.4121552,395.837188,429.2811464,645.0325568,2295.342317,2572.400348,3112.170865,2861.729383,,2021.04.28
8,GPR29.all,HIRa4,2399.854115,2026.282188,2157.67125,2306.660216,3194.2262704,3778.7650064,3909.2369024,10734.5672144,38196.9956172,49785.5193736,42200.422696,41663.906398,2022.05.11
9,GPR29.all,HIRa4,1472.1068576,3023.5984766,2608.54125,2789.5372576,3135.741127,3059.4814024,3739.9612884,11853.2229088,43324.9398044,57293.9743864,45263.1539528,41218.0367176,2022.05.11
10,GPR29.all,HIRa4,1555.0309292,3835.4076352,2182.173,2582.582964,3385.1802332,2645.1591392,3550.2859908,11289.2868864,33603.3948452,55373.4312808,43978.8659768,36654.226332,2022.05.11
1,GPR29.all,HIRa5,269.978425,578.9264634,217.4346772,472.0266972,382.8396778,492.5037282,254.867013,599.8975688,4936.017497,16429.55733,16155.70964,,2021.07.28
2,GPR29.all,HIRa5,414.4172084,346.8987948,200.5184062,110.2281276,364.505173,309.067587,436.7322164,382.6022612,7422.292577,18666.63382,20164.69603,,2021.07.28
3,GPR29.all,HIRa5,359.45429,291.1537664,581.4407424,582.968988,237.8433148,291.623234,400.4399548,509.9485392,6084.730343,18074.85578,18279.90766,,2021.07.28
4,GPR29.all,HIRa5,427.1046408,,324.5776352,285.877008,377.5063064,269.1466688,215.5317072,1221.367153,5463.58838,9888.464872,7898.320886,,2021.04.28
5,GPR29.all,HIRa5,320.6615476,,251.3374248,323.2437876,179.2602944,215.203562,396.5445108,807.3226752,6125.952056,9956.589553,9057.155587,,2021.04.28
6,GPR29.all,HIRa5,177.8252784,,143.2066536,233.1031168,233.7601432,358.96618,35.711196,375.7693632,2273.285555,1752.96736,2308.600519,,2021.04.28
7,GPR29.all,HIRa5,248.8641728,,178.7803024,358.628348,144.229236,143.8132048,215.261784,932.652768,1982.809722,2430.050174,2573.835286,,2021.04.28
8,GPR29.all,HIRa5,1130.1569748,2206.298016,1508.1659104,1346.2062948,1346.0082064,1471.4957516,1845.1114668,2908.8344436,14770.8570892,31408.846152,29112.781648,30359.1944868,2022.05.11
9,GPR29.all,HIRa5,1625.4142488,1474.641638,1814.1109108,1404.8906896,1470.3916308,1803.756094,1797.5894332,3294.1518272,19573.6750624,38481.594168,37784.5051344,34629.5894144,2022.05.11
