Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-6,2865.064549,100
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-5,2021.891391,11.039454819932542
6,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-4,1647.133614,-28.50005831099915
7,GPR21.all.adjusted,HIRa2,,2021.04.28,0,1198.295101,0
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-11,1467.240984,18.200411456053686
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-10,1041.032382,-10.642461451985668
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-9,1615.954262,28.26430542009884
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-8,2675.986326,100
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-7,2475.694099,86.44559677885341
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-6,2536.063372,90.53097483203908
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-5,1497.616533,20.256020130321875
7,GPR21.all.adjusted,HIRa2,,2021.04.28,1e-4,1807.807504,41.247616057272054
8,GPR21.all.adjusted,HIRa2,94246.1864231,,0,48888.0309174,0
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-12,53066.4960304,5.881789872737836
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-11,48085.0708373,-1.1302816559724933
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-10,46937.2903372,-2.7459475856964257
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-9,53297.5695121,6.207058991365359
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-8,80252.3447052,44.14977706251673
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-7,90004.7884296,57.87774251905676
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-6,97685.4842666,68.68942522261564
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-5,119928.737971,100
8,GPR21.all.adjusted,HIRa2,94246.1864231,,1e-4,82870.0091838,47.834515837181485
9,GPR21.all.adjusted,HIRa2,108312.6278433,,0,42828.3357771,0
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-12,45031.9877053,2.6305063592360827
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-11,49826.5575285,8.353799701679208
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-10,48264.0688474,6.488651962478297
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-9,61153.0807339,21.874306701247267
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-8,85557.1477076,51.00551955026434
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-7,105666.01821,75.00954262519038
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-6,83806.215128,48.91542572633016
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-5,126601.2535069,100
9,GPR21.all.adjusted,HIRa2,108312.6278433,,1e-4,95351.276331,62.696802233039996
10,GPR21.all.adjusted,HIRa2,108941.0816837,,0,40095.062694,0
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-12,50425.9121454,18.288249534179105
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-11,48824.5313887,15.453395438633912
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-10,55940.9589499,28.051294928254116
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-9,60146.2619507,35.49575832957107
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-8,64436.0283626,43.08974360186016
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-7,96584.0636347,100
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-6,70668.0224227,54.121969267600136
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-5,86094.3228769,81.43047215720503
10,GPR21.all.adjusted,HIRa2,108941.0816837,,1e-4,66633.5893338,46.97998937467337
1,GPR21.all.adjusted,HIRa4,,2021.07.21,0,5488.509642,0
1,GPR21.all.adjusted,HIRa4,,2021.07.21,1e-12,6531.020198,7.348585084039499
1,GPR21.all.adjusted,HIRa4,,2021.07.21,1e-11,8195.241498,19.07956636891468
1,GPR21.all.adjusted,HIRa4,,2021.07.21,1e-10,8337.939675,20.085435987199702
1,GPR21.all.adjusted,HIRa4,,2021.07.21,1e-9,11752.00688,44.15096049836966
1,GPR21.all.adjusted,HIRa4,,2021.07.21,1e-8,11846.00684,44.81355974015259
